name,lat,lon
Bridgman Ave / Bathurst St,43.674444,-79.414722
Kendal Ave / Bernard Ave,43.671513,-79.408317
Palmerston Ave / Vermont Ave,43.671389,-79.416389
Christie St / Benson Ave (Wychwood Barns),43.68,-79.42500000000001
King St W / Fraser Ave,43.6394444,-79.42527777777778
King St W / Joe Shuster Way,43.639444,-79.423611
Yarmouth Rd / Christie St,43.67,-79.42083333333333
Dufferin St / Sylvan Av (Dufferin Grove Park),43.6555556,-79.43361111111112
Essex St / Christie St - SMART,43.6686111,-79.42027777777778
Ossington Ave / Bloor St W,43.661705,-79.425734
Bloor St W / Christie St,43.6638889,-79.41888888888889
Bathurst Subway Station,43.6666667,-79.41166666666668
Bathurst St / Lennox St,43.663808,-79.410491
Salem Ave / Bloor St W,43.6608333,-79.43166666666667
Dufferin St / Bloor St W,43.66083333333333,-79.43583333333333
King St W / Stafford St,43.6422222,-79.41111111111111
King St W / Tecumseth St,43.64333333333333,-79.40555555555557
Beverley St / College St,43.6575,-79.39527777777778
Hayter St / Laplante Ave,43.6591666666667,-79.3855555555556
Yonge St / Wood St,43.6622222,-79.3825
Gould St / Yonge St (TMU),43.657424,-79.381019
Queens Quay / Yonge St,43.641646,-79.375308
Front St W / Bay St (North Side),43.646162,-79.378912
Spadina Ave / Willcocks St,43.6616667,-79.40138888888889
Ontario Place Blvd / Lake Shore Blvd W,43.6322445,-79.4108105
Strachan Ave / Princes' Blvd,43.635,-79.4088888888889
Cariboo St / Rail Path,43.66666667,-79.45833333333334
Bloor St W / Dundas St W,43.6563889,-79.45166666666667
HTO Park (Queens Quay W),43.63796,-79.387502
Bathurst St / Fort York Blvd,43.639179,-79.399595
Dundas St W / Edna Ave,43.657192,-79.452559
Lansdowne Subway Station,43.6587734,-79.443054
Lansdowne Ave / Whytock Ave,43.6538888888889,-79.4413888888889
Sterling Rd / Dundas St W,43.6508333333333,-79.4430555555556
St Clarens Ave / College St,43.651238,-79.43868
Ossington Ave / College St,43.6544915,-79.422634
Exhibition GO (Atlantic Ave),43.637695491830144,-79.42023184193503
Augusta Ave / Denison Sq,43.653766,-79.4016759
St. George St / Hoskin Ave,43.6637403,-79.39806449999999
Central Tech  (Harbord St),43.661975,-79.407896
Harbord St / Clinton St,43.660414,-79.415646
Queen St W / Gladstone Ave,43.6430555555556,-79.4275
Mortimer Ave / Coxwell Ave,43.690564,-79.326319
Ulster St / Bathurst St,43.66,-79.4088888888889
Roxton Rd / Harbord St,43.65905,-79.422988
Queen St W / Dovercourt Rd,43.6438602,-79.4227573
Queen St W / Cowan Ave,43.6409,-79.432837
College St / Markham St,43.6563888888889,-79.4091666666667
Queen St W / Bay St (City Hall),43.6517925,-79.38269509999999
Bathurst St/Queens Quay(Billy Bishop Airport),43.635492,-79.398253
College St / Crawford St,43.655,-79.418889
Rusholme Park Cres / College St,43.65277778,-79.42972222
Claremont St / Dundas St W,43.651281,-79.411717
Dundas St W / Crawford St,43.649722,-79.416944
80 Clinton St,43.656296,-79.414663
Ossington Ave / Harrison St,43.651111111111106,-79.4213888888889
Mary McCormick Rec Centre (Sheridan Ave),43.6475,-79.43305555555555
Fort York Blvd / Garrison Rd,43.637381,-79.406112
Wellington St W / Stafford St,43.6409957,-79.40966630000001
Soho St / Queen St W,43.6494896,-79.393535
Lake Shore Blvd W / Ellis Ave,43.635932,-79.465083
High Park Subway Station,43.6543604,-79.4655296
Sunnyside - Gus Ryder Pool,43.637894,-79.454823
Parkside Dr / Bloor St W - SMART,43.654501,-79.460053
Bloor St W / High Park Ave (High Park),43.6535269,-79.4650569
Lake Shore Blvd W / Windermere Ave,43.634896,-79.467763
Lake Shore Blvd W / The Boulevard Club,43.636731,-79.444966
Martin Goodman Trail (Marilyn Bell Park),43.6314,-79.4304
Queen St W / Roncesvalles Ave,43.6372958,-79.4423237
Dundas St W / Roncesvalles Green P - SMART,43.6534268,-79.4512787
Garden Ave / Roncesvalles Ave,43.643769,-79.447915
Wright Ave / Sorauren Ave - SMART,43.646677,-79.442741
Queen St W  /  Fuller Ave - SMART,43.640255,-79.439223
King St W / Cowan Ave - SMART,43.637922,-79.431734
Roncesvalles Ave / Marmaduke St,43.650492,-79.450842
Bay St / College St (West Side) - SMART,43.660087,-79.385655
Thompson St / Broadview Ave - SMART,43.659471,-79.350325
Ward St / Wallace Ave,43.662857,-79.44618
Sorauren Ave / Geoffrey St - SMART,43.649172,-79.4445087
Bloor St W / Manning Ave - SMART,43.663912,-79.416124
Bloor St W / Shaw Ave - SMART,43.662403,-79.423098
Lake Shore Blvd W / Ontario Dr,43.630254,-79.420317
Exhibition GO Station,43.6352007,-79.4187711
Dufferin Gate - SMART,43.633473,-79.425679
Tecumseth St / Queen St W - SMART,43.646552,-79.406468
Yonge St / Bloor St,43.669969,-79.386532
Howard Park Ave / Dundas St W - SMART,43.6521,-79.4486
Baldwin St / Spadina Ave - SMART,43.654905,-79.398448
Dovercourt Rd / Harrison St (Green P) - SMART,43.651145,-79.423742
Ursula Franklin St / St. George St - SMART,43.660296,-79.397107
The Royal Ontario Museum (Bloor St Entrance),43.668500046272165,-79.3946235999697
Robert St / Bloor St W - SMART,43.665846,-79.404998
John St  / Mercer St - SMART,43.6461,-79.3895
Vanauley St / Queen St W - SMART,43.648437,-79.39838
Dundas St W / St. Patrick St,43.6545174,-79.3895315
Queen St E / Rushbrooke Ave,43.6626628,-79.3323698
Lower Spadina Ave / Lake Shore Blvd W,43.638497,-79.39192
Spadina Ave / Adelaide St W,43.6472019,-79.3953394
Queens Quay E / Lower Sherbourne St,43.645215,-79.364898
Wychwood Ave / Benson Ave - SMART,43.6809164,-79.4229684
Walton St / Elizabeth St - SMART,43.657838,-79.38631
Bloor St E / Huntley St - SMART,43.671535,-79.379173
Wallace Ave / Symington Ave - SMART,43.661324,-79.449534
Victoria Park Subway Station - SMART,43.6940155,-79.2889842
Dundas St E / Pembroke St - SMART,43.658295,-79.372346
111 Bond St (North of Dundas St E)  - SMART,43.656927,-79.378497
Toronto Eaton Centre (Yonge St) - SMART,43.655431,-79.380653
Church St / Dundas St E - SMART,43.657024,-79.377257
Yonge St / Alexander St - SMART,43.662862,-79.383572
Yonge St / Dundonald St - SMART,43.665801,-79.384796
Bay St / Charles St W - SMART,43.668153,-79.38891
Queen's Park Cres E / Grosvenor St - SMART,43.661803,-79.389682
Bloor St W / Balmuto St,43.669903,-79.387802
Chorley Park - SMART,43.6856,-79.3718
Mallon Ave / Jones Ave -SMART,43.66587,-79.33443
Rosehill Ave / Avoca Ave - SMART,43.687999,-79.38906
Charles St E / Jarvis St - SMART,43.669604,-79.381171
Charles St W / Balmuto St - SMART,43.668427,-79.38725
Front St W / Bay St (South Side),43.64595,-79.378761
University Ave / King St W - SMART,43.6477785,-79.3847928
Spadina Ave / Harbord St - SMART,43.6629228,-79.4018451
Gerrard St E / Broadview - SMART,43.665656,-79.352055
Queen St E / Pape Ave - SMART,43.661673,-79.337789
Humber Bay Shores Park West,43.6224434,-79.480284
Humber Bay Shores Park East,43.6308933,-79.4722622
190 Queens Quay E,43.6451308,-79.36536439999999
Granby St / Church St - SMART,43.6614605,-79.37894570000002
Westmoreland Ave / Fernbank Ave,43.665327,-79.43235
Havelock St / Dufferin Park,43.657343,-79.43112
Bathurst St / Adelaide St W,43.645324,-79.40345
Mill St / Parliament St,43.650256,-79.36163
Primrose Ave / Davenport Rd,43.67142,-79.445947
Winona Dr / Davenport Rd,43.674923,-79.430465
Queen St E / Woodward Ave,43.665269,-79.319796
Queen St. E / Rhodes Ave.,43.666224,-79.317693
Sherbourne St / Isabella St,43.669576,-79.375961
Amelia St. / Sumach St.,43.66852,-79.363525
Lower Coxwell Ave /  Lake Shore Blvd E,43.662771,-79.315223
Queen St. E / Eastern Ave,43.667208,-79.312315
Queen St E / Hammersmith Ave,43.671349,-79.29451
Queen St. E / Spruce Hill Rd.,43.672571,-79.289
Hubbard Blvd / Balsam Av,43.669328,-79.288949
Hubbard Blvd. / Glen Manor Dr.,43.668633,-79.291162
Lake Shore Blvd E / Knox Ave,43.660206,-79.3244
Front St W / University Ave (1),43.6451635,-79.3831757
Front St W / University Ave (2),43.6452972,-79.3827914
East Liberty St / Western Battery Rd,43.6392777,-79.4115736
457 King St W,43.6452091,-79.3960744
King St W / Charlotte St,43.645572,-79.39399
Davenport Rd / Lansdowne Ave,43.671526,-79.44874
Davenport Rd / Dovercourt Rd - SMART,43.6741219,-79.4352208
Roxborough St W / Yonge St,43.678077,-79.390328
Crawford St / Queen St W,43.645665,-79.415345
Coxwell Ave / Plains Rd,43.69595,-79.328535
200 Bloor St E,43.671561,-79.38117
King St E / Victoria St,43.6495789,-79.3762096
Simcoe St / Wellington St W North,43.6462176,-79.3855048
Bay St / Bloor St W (West Side),43.669244,-79.3894
Queen St E / Alton Av,43.663912,-79.327987
Gerrard Square Mall (1010 Gerrard St E),43.668553,-79.338673
Logan Ave / Bain Ave,43.6720273,-79.3470557
Carlaw Ave / Strathcona Ave,43.6753188,-79.3462789
Blake St / Boultbee Ave,43.672453,-79.338259
